x,y,velocity
51.20967741935483,0.5201612903225623,5.0
89.11290322580645,0.3185483870967687,5.0
213.10483870967744,0.7217741935483559,5.4
242.13709677419354,0.5201612903225623,5.6
263.9112903225806,0.5201612903225623,5.4
275.2016129032258,0.5201612903225623,4.9
7.056451612903217,0.7217741935483559,5.0
16.532258064516128,2.939516129032228,6.13
88.50806451612901,4.149193548387075,6.0
51.61290322580645,6.165322580645153,6.0
60.48387096774192,3.3427419354838435,6.05
70.56451612903224,6.971774193548356,6.06
121.57258064516127,2.5362903225806406,5.0
135.0806451612903,4.955645161290306,6.0
261.89516129032256,3.745967741935459,6.3
275.80645161290323,4.55241935483869,6.3
291.93548387096774,2.939516129032228,5.4
305.44354838709677,2.939516129032228,5.7
317.5403225806451,4.149193548387075,5.4
331.85483870967744,3.947580645161281,5.4
341.5322580645161,3.947580645161281,5.4
341.73387096774195,6.366935483870947,6.3
332.05645161290323,6.568548387096769,6.3
305.64516129032256,5.358870967741922,6.25
292.13709677419354,5.1572580645161,6.35
283.26612903225805,5.963709677419331,6.4
285.0806451612903,8.383064516129025,6.5
297.3790322580645,6.971774193548356,6.4
254.23387096774195,7.778225806451587,6.5
245.1612903225806,6.366935483870947,6.4
233.6693548387097,4.55241935483869,6.33
264.71774193548384,9.39112903225805,6.46
152.82258064516128,10.399193548387075,6.5
111.69354838709675,4.955645161290306,6.15
123.99193548387096,9.592741935483843,5.8
240.72580645161293,11.4072580645161,5.8
253.8306451612903,11.810483870967715,5.65
265.9274193548387,13.020161290322562,5.5
284.47580645161287,12.012096774193537,5.5
305.44354838709677,10.197580645161281,6.0
47.78225806451613,11.4072580645161,6.45
68.74999999999999,9.99596774193546,6.45
123.58870967741935,14.028225806451587,6.3
235.0806451612903,15.439516129032228,6.45
253.42741935483872,15.036290322580612,6.5
280.241935483871,15.64112903225805,6.6
293.9516129032258,15.036290322580612,6.5
306.4516129032258,13.020161290322562,6.5
315.9274193548387,18.46370967741933,6.5
55.846774193548384,14.633064516129025,6.5
101.20967741935483,20.076612903225794,6.4
132.86290322580646,18.665322580645153,6.2
165.92741935483872,17.6572580645161,6.2
229.23387096774195,17.85887096774192,6.5
244.1532258064516,17.455645161290306,6.6
260.88709677419354,17.6572580645161,6.65
268.75,18.866935483870947,6.6
55.64516129032258,17.6572580645161,6.8
101.20967741935483,23.10080645161287,6.7
129.43548387096774,23.10080645161287,6.8
162.09677419354836,21.689516129032228,6.8
234.8790322580645,24.512096774193537,6.8
275.2016129032258,24.71370967741933,6.8
312.9032258064516,23.9072580645161,6.8
59.677419354838705,28.14112903225805,6.9
89.31451612903224,28.342741935483843,6.9
126.81451612903224,27.737903225806434,6.9
162.09677419354836,33.58467741935482,8.0
56.451612903225794,31.165322580645125,8.0
85.88709677419355,31.366935483870947,8.0
123.18548387096773,31.366935483870947,8.0
230.04032258064518,33.58467741935482,8.0
247.17741935483872,33.58467741935482,8.0
259.6774193548387,33.58467741935482,8.0
276.61290322580646,32.77822580645159,8.0
288.7096774193548,32.97983870967741,8.0
298.18548387096774,32.97983870967741,8.0
298.991935483871,38.62499999999997,8.3
288.30645161290323,39.02822580645159,8.05
275.4032258064516,38.82661290322578,8.2
260.88709677419354,40.23790322580642,8.35
247.5806451612903,40.036290322580626,8.4
230.84677419354836,39.83467741935482,8.45
124.19354838709675,40.23790322580642,8.5
86.29032258064514,40.036290322580626,8.0
58.46774193548386,40.036290322580626,8.05
