x,y,layer
12.903225806451601,2.133064516129025,1
23.387096774193537,2.133064516129025,1
49.39516129032258,1.5282258064515872,1
64.51612903225806,1.5282258064515872,1
91.73387096774194,2.133064516129025,1
108.26612903225806,1.7298387096774093,1
129.0322580645161,3.5443548387096655,1
149.19354838709677,3.5443548387096655,1
290.3225806451613,1.7298387096774093,1
299.7983870967742,1.5282258064515872,1
306.0483870967742,2.3346774193548185,1
315.3225806451613,2.3346774193548185,1
315.5241935483871,3.947580645161281,1
321.1693548387097,3.947580645161281,1
321.5725806451613,2.939516129032228,1
333.06451612903226,2.737903225806434,1
338.508064516129,2.737903225806434,1
347.98387096774195,2.737903225806434,1
352.6209677419355,3.947580645161281,1
387.5,3.947580645161281,1
52.21774193548386,7.979838709677409,2
82.66129032258063,7.979838709677409,2
131.85483870967738,5.1572580645161,2
145.36290322580646,5.1572580645161,2
165.52419354838707,11.4072580645161,2
180.44354838709677,11.4072580645161,2
257.4596774193548,4.55241935483869,2
266.1290322580645,4.754032258064484,2
270.76612903225805,6.971774193548356,2
278.0241935483871,6.971774193548356,2
280.241935483871,8.181451612903203,2
288.508064516129,8.181451612903203,2
292.13709677419354,9.794354838709666,2
302.01612903225805,9.99596774193546,2
316.93548387096774,8.987903225806434,2
323.38709677419354,8.987903225806434,2
324.7983870967742,6.971774193548356,2
49.19354838709677,10.399193548387075,3
58.87096774193547,10.600806451612897,3
72.98387096774194,8.78629032258064,3
82.45967741935483,8.987903225806434,3
134.47580645161287,12.213709677419331,3
145.96774193548384,12.213709677419331,3
165.52419354838707,11.4072580645161,3
180.64516129032256,11.4072580645161,3
267.33870967741933,13.826612903225794,3
278.4274193548387,13.826612903225794,3
280.64516129032256,12.415322580645153,3
290.1209677419355,12.415322580645153,3
293.34677419354836,15.64112903225805,3
304.43548387096774,15.64112903225805,3
310.0806451612903,13.826612903225794,3
319.758064516129,13.826612903225794,3
326.4112903225806,12.818548387096769,3
335.0806451612903,12.818548387096769,3
340.5241935483871,11.205645161290306,3
348.58870967741933,11.004032258064484,3
55.44354838709677,16.24596774193546,4
65.9274193548387,16.24596774193546,4
109.8790322580645,21.89112903225805,4
119.3548387096774,21.89112903225805,4
143.5483870967742,20.278225806451587,4
155.04032258064512,20.47983870967741,4
180.44354838709677,19.270161290322562,4
191.93548387096774,19.270161290322562,4
255.24193548387098,18.866935483870947,4
264.31451612903226,19.06854838709674,4
269.35483870967744,18.46370967741933,4
277.8225806451613,18.262096774193537,4
280.64516129032256,19.06854838709674,4
296.7741935483871,18.866935483870947,4
298.991935483871,19.673387096774178,4
305.64516129032256,19.270161290322562,4
306.4516129032258,17.455645161290306,4
313.10483870967744,17.05241935483869,4
313.7096774193548,17.85887096774192,4
319.1532258064516,17.85887096774192,4
320.76612903225805,18.866935483870947,4
349.19354838709677,18.866935483870947,4
364.91935483870964,18.665322580645153,4
361.89516129032256,20.076612903225794,5
348.38709677419354,20.278225806451587,5
341.73387096774195,20.47983870967741,5
323.38709677419354,21.487903225806434,5
321.7741935483871,21.487903225806434,5
308.6693548387097,21.689516129032228,5
308.46774193548384,20.681451612903203,5
301.008064516129,20.47983870967741,5
299.39516129032256,20.076612903225794,5
271.1693548387097,20.47983870967741,5
267.13709677419354,20.278225806451587,5
178.6290322580645,20.278225806451587,5
153.42741935483872,22.294354838709666,5
110.28225806451611,22.49596774193546,5
65.9274193548387,17.05241935483869,5
53.83064516129032,17.05241935483869,5
58.87096774193547,30.1572580645161,6
146.77419354838707,29.754032258064484,6
190.92741935483872,29.35080645161287,6
263.508064516129,28.94758064516128,6
296.1693548387097,28.94758064516128,6
300.2016129032258,27.939516129032228,6
338.508064516129,27.536290322580612,6
345.36290322580646,25.116935483870947,6
359.2741935483871,24.915322580645153,6
57.258064516129025,30.96370967741933,7
69.35483870967742,30.96370967741933,7
145.76612903225805,30.762096774193537,7
176.81451612903226,32.37499999999997,7
254.23387096774195,32.17338709677418,7
297.5806451612903,32.37499999999997,7
304.23387096774195,31.165322580645125,7
339.11290322580646,31.770161290322562,7
343.5483870967742,28.544354838709666,7
355.64516129032256,28.14112903225805,7

